country_or_region,date,variable,generation_twh
Romania,01-03-16,Nuclear,1.04
Romania,01-03-16,Solar,0.1
Romania,01-03-16,Wind,0.57
Romania,01-03-16,Wind and solar,0.67
Romania,01-04-16,Bioenergy,0.04
Romania,01-04-16,Clean,3.2
Romania,01-04-16,Coal,0.93
Romania,01-04-16,Fossil,1.45
Romania,01-04-16,Gas,0.52
Romania,01-04-16,Hydro,1.57
Romania,01-04-16,Nuclear,1.01
Romania,01-04-16,Solar,0.13
Romania,01-04-16,Wind,0.45
Romania,01-04-16,Wind and solar,0.58
Romania,01-05-16,Bioenergy,0.03
Romania,01-05-16,Clean,2.98
Romania,01-05-16,Coal,0.94
Romania,01-05-16,Fossil,1.44
Romania,01-05-16,Gas,0.5
Romania,01-05-16,Hydro,1.78
Romania,01-05-16,Nuclear,0.62
Romania,01-05-16,Solar,0.15
Romania,01-05-16,Wind,0.4
Romania,01-05-16,Wind and solar,0.55
Romania,01-06-16,Bioenergy,0.03
Romania,01-06-16,Clean,3.21
Romania,01-06-16,Coal,1.33
Romania,01-06-16,Fossil,1.85
Romania,01-06-16,Gas,0.52
Romania,01-06-16,Hydro,2.09
Romania,01-06-16,Nuclear,0.57
Romania,01-06-16,Solar,0.15
Romania,01-06-16,Wind,0.37
Romania,01-06-16,Wind and solar,0.52
Romania,01-07-16,Bioenergy,0.03
Romania,01-07-16,Clean,3.33
Romania,01-07-16,Coal,1.4
Romania,01-07-16,Fossil,2.2
Romania,01-07-16,Gas,0.8
Romania,01-07-16,Hydro,1.79
Romania,01-07-16,Nuclear,1.02
Romania,01-07-16,Solar,0.17
Romania,01-07-16,Wind,0.32
Romania,01-07-16,Wind and solar,0.49
Romania,01-08-16,Bioenergy,0.04
Romania,01-08-16,Clean,3.15
Romania,01-08-16,Coal,1.31
Romania,01-08-16,Fossil,2.07
Romania,01-08-16,Gas,0.76
Romania,01-08-16,Hydro,1.42
Romania,01-08-16,Nuclear,1.02
Romania,01-08-16,Solar,0.15
Romania,01-08-16,Wind,0.52
Romania,01-08-16,Wind and solar,0.67
Romania,01-09-16,Bioenergy,0.04
Romania,01-09-16,Clean,2.62
Romania,01-09-16,Coal,1.35
Romania,01-09-16,Fossil,2.15
Romania,01-09-16,Gas,0.8
Romania,01-09-16,Hydro,1.14
Romania,01-09-16,Nuclear,0.99
Romania,01-09-16,Solar,0.13
Romania,01-09-16,Wind,0.32
Romania,01-09-16,Wind and solar,0.45
Romania,01-10-16,Bioenergy,0.04
Romania,01-10-16,Clean,3.11
Romania,01-10-16,Coal,1.5
Romania,01-10-16,Fossil,2.39
Romania,01-10-16,Gas,0.89
Romania,01-10-16,Hydro,1.38
Romania,01-10-16,Nuclear,1.04
Romania,01-10-16,Solar,0.07
Romania,01-10-16,Wind,0.58
Romania,01-10-16,Wind and solar,0.65
Romania,01-11-16,Bioenergy,0.04
Romania,01-11-16,Clean,3.26
Romania,01-11-16,Coal,1.46
Romania,01-11-16,Fossil,2.53
Romania,01-11-16,Gas,1.07
Romania,01-11-16,Hydro,1.64
Romania,01-11-16,Nuclear,0.94
Romania,01-11-16,Solar,0.05
Romania,01-11-16,Wind,0.59
Romania,01-11-16,Wind and solar,0.64
Romania,01-12-16,Bioenergy,0.04
Romania,01-12-16,Clean,3.44
Romania,01-12-16,Coal,1.63
Romania,01-12-16,Fossil,2.91
Romania,01-12-16,Gas,1.28
Romania,01-12-16,Hydro,1.43
Romania,01-12-16,Nuclear,1.04
Romania,01-12-16,Solar,0.05
Romania,01-12-16,Wind,0.88
Romania,01-12-16,Wind and solar,0.93
Romania,01-01-17,Bioenergy,0.04
Romania,01-01-17,Clean,3.09
Romania,01-01-17,Coal,1.83
Romania,01-01-17,Fossil,3.34
Romania,01-01-17,Gas,1.51
Romania,01-01-17,Hydro,1.19
Romania,01-01-17,Nuclear,1.02
Romania,01-01-17,Solar,0.05
Romania,01-01-17,Wind,0.79
Romania,01-01-17,Wind and solar,0.84
Romania,01-02-17,Bioenergy,0.03
Romania,01-02-17,Clean,2.78
Romania,01-02-17,Coal,1.43
Romania,01-02-17,Fossil,2.62
Romania,01-02-17,Gas,1.19
Romania,01-02-17,Hydro,1.11
Romania,01-02-17,Nuclear,0.94
Romania,01-02-17,Solar,0.07
Romania,01-02-17,Wind,0.63
Romania,01-02-17,Wind and solar,0.7
Romania,01-03-17,Bioenergy,0.04
Romania,01-03-17,Clean,3.5
Romania,01-03-17,Coal,1.27
Romania,01-03-17,Fossil,2.26
Romania,01-03-17,Gas,0.99
Romania,01-03-17,Hydro,1.46
Romania,01-03-17,Nuclear,1.05
Romania,01-03-17,Solar,0.12
Romania,01-03-17,Wind,0.83
Romania,01-03-17,Wind and solar,0.95
Romania,01-04-17,Bioenergy,0.03
Romania,01-04-17,Clean,3.24
Romania,01-04-17,Coal,1.1
Romania,01-04-17,Fossil,1.82
Romania,01-04-17,Gas,0.72
Romania,01-04-17,Hydro,1.36
Romania,01-04-17,Nuclear,1.02
Romania,01-04-17,Solar,0.13
Romania,01-04-17,Wind,0.7
Romania,01-04-17,Wind and solar,0.83
Romania,01-05-17,Bioenergy,0.03
Romania,01-05-17,Clean,2.72
Romania,01-05-17,Coal,1.48
Romania,01-05-17,Fossil,1.94
Romania,01-05-17,Gas,0.46
Romania,01-05-17,Hydro,1.58
Romania,01-05-17,Nuclear,0.54
Romania,01-05-17,Solar,0.16
Romania,01-05-17,Wind,0.41
Romania,01-05-17,Wind and solar,0.57
Romania,01-06-17,Bioenergy,0.03
Romania,01-06-17,Clean,2.95
Romania,01-06-17,Coal,1.39
Romania,01-06-17,Fossil,1.84
Romania,01-06-17,Gas,0.45
Romania,01-06-17,Hydro,1.39
Romania,01-06-17,Nuclear,0.96
Romania,01-06-17,Solar,0.17
Romania,01-06-17,Wind,0.4
Romania,01-06-17,Wind and solar,0.57
Romania,01-07-17,Bioenergy,0.04
Romania,01-07-17,Clean,2.66
Romania,01-07-17,Coal,1.53
Romania,01-07-17,Fossil,2.24
Romania,01-07-17,Gas,0.71
Romania,01-07-17,Hydro,1.02
Romania,01-07-17,Nuclear,0.97
Romania,01-07-17,Solar,0.17
Romania,01-07-17,Wind,0.46
Romania,01-07-17,Wind and solar,0.63
Romania,01-08-17,Bioenergy,0.04
Romania,01-08-17,Clean,2.59
Romania,01-08-17,Coal,1.48
Romania,01-08-17,Fossil,2.24
Romania,01-08-17,Gas,0.76
Romania,01-08-17,Hydro,0.92
Romania,01-08-17,Nuclear,0.98
Romania,01-08-17,Solar,0.17
Romania,01-08-17,Wind,0.48
Romania,01-08-17,Wind and solar,0.65
Romania,01-09-17,Bioenergy,0.04
Romania,01-09-17,Clean,2.74
Romania,01-09-17,Coal,1.32
Romania,01-09-17,Fossil,1.97
Romania,01-09-17,Gas,0.65
Romania,01-09-17,Hydro,0.92
Romania,01-09-17,Nuclear,0.99
Romania,01-09-17,Solar,0.13
Romania,01-09-17,Wind,0.66
Romania,01-09-17,Wind and solar,0.79
Romania,01-10-17,Bioenergy,0.04
Romania,01-10-17,Clean,2.89
Romania,01-10-17,Coal,1.47
Romania,01-10-17,Fossil,2.25
Romania,01-10-17,Gas,0.78
Romania,01-10-17,Hydro,1.01
Romania,01-10-17,Nuclear,1.04
Romania,01-10-17,Solar,0.11
Romania,01-10-17,Wind,0.69
Romania,01-10-17,Wind and solar,0.8
Romania,01-11-17,Bioenergy,0.04
Romania,01-11-17,Clean,2.75
Romania,01-11-17,Coal,1.45
Romania,01-11-17,Fossil,2.65
Romania,01-11-17,Gas,1.2
Romania,01-11-17,Hydro,1.19
Romania,01-11-17,Nuclear,1.01
Romania,01-11-17,Solar,0.05
Romania,01-11-17,Wind,0.46
Romania,01-11-17,Wind and solar,0.51
Romania,01-12-17,Bioenergy,0.04
Romania,01-12-17,Clean,3.29
Romania,01-12-17,Coal,1.45
Romania,01-12-17,Fossil,2.7
Romania,01-12-17,Gas,1.25
Romania,01-12-17,Hydro,1.41
Romania,01-12-17,Nuclear,0.99
Romania,01-12-17,Solar,0.04
Romania,01-12-17,Wind,0.81
Romania,01-12-17,Wind and solar,0.85
Romania,01-01-18,Bioenergy,0.04
Romania,01-01-18,Clean,3.05
Romania,01-01-18,Coal,1.7
Romania,01-01-18,Fossil,2.94
Romania,01-01-18,Gas,1.24
Romania,01-01-18,Hydro,1.25
Romania,01-01-18,Nuclear,1.04
Romania,01-01-18,Solar,0.05
Romania,01-01-18,Wind,0.67
Romania,01-01-18,Wind and solar,0.72
Romania,01-02-18,Bioenergy,0.03
Romania,01-02-18,Clean,3.06
Romania,01-02-18,Coal,1.59
Romania,01-02-18,Fossil,2.74
Romania,01-02-18,Gas,1.15
Romania,01-02-18,Hydro,1.27
Romania,01-02-18,Nuclear,0.94
Romania,01-02-18,Solar,0.05
Romania,01-02-18,Wind,0.77
Romania,01-02-18,Wind and solar,0.82
Romania,01-03-18,Bioenergy,0.03
Romania,01-03-18,Clean,3.59
Romania,01-03-18,Coal,1.55
Romania,01-03-18,Fossil,2.46
Romania,01-03-18,Gas,0.91
Romania,01-03-18,Hydro,1.9
Romania,01-03-18,Nuclear,0.98
Romania,01-03-18,Solar,0.09
Romania,01-03-18,Wind,0.59
Romania,01-03-18,Wind and solar,0.68
Romania,01-04-18,Bioenergy,0.02
Romania,01-04-18,Clean,3.69
Romania,01-04-18,Coal,0.86
Romania,01-04-18,Fossil,1.24
Romania,01-04-18,Gas,0.38
Romania,01-04-18,Hydro,1.97
Romania,01-04-18,Nuclear,1
Romania,01-04-18,Solar,0.16
Romania,01-04-18,Wind,0.54
Romania,01-04-18,Wind and solar,0.7
Romania,01-05-18,Bioenergy,0.03
Romania,01-05-18,Clean,3.01
Romania,01-05-18,Coal,1.13
Romania,01-05-18,Fossil,1.65
Romania,01-05-18,Gas,0.52
Romania,01-05-18,Hydro,1.75
Romania,01-05-18,Nuclear,0.54
Romania,01-05-18,Solar,0.18
Romania,01-05-18,Wind,0.51
Romania,01-05-18,Wind and solar,0.69
Romania,01-06-18,Bioenergy,0.03
Romania,01-06-18,Clean,2.94
Romania,01-06-18,Coal,1.12
Romania,01-06-18,Fossil,1.83
Romania,01-06-18,Gas,0.71
Romania,01-06-18,Hydro,1.5
Romania,01-06-18,Nuclear,0.92
Romania,01-06-18,Solar,0.15
Romania,01-06-18,Wind,0.34
Romania,01-06-18,Wind and solar,0.49
Romania,01-07-18,Bioenergy,0.03
Romania,01-07-18,Clean,3.49
Romania,01-07-18,Coal,1.23
Romania,01-07-18,Fossil,1.82
Romania,01-07-18,Gas,0.59
Romania,01-07-18,Hydro,2.11
Romania,01-07-18,Nuclear,1
Romania,01-07-18,Solar,0.15
Romania,01-07-18,Wind,0.2
Romania,01-07-18,Wind and solar,0.35
Romania,01-08-18,Bioenergy,0.03
Romania,01-08-18,Clean,3.19
Romania,01-08-18,Coal,1.26
Romania,01-08-18,Fossil,2.08
Romania,01-08-18,Gas,0.82
Romania,01-08-18,Hydro,1.64
Romania,01-08-18,Nuclear,1
Romania,01-08-18,Solar,0.17
Romania,01-08-18,Wind,0.35
Romania,01-08-18,Wind and solar,0.52
Romania,01-09-18,Bioenergy,0.02
Romania,01-09-18,Clean,2.81
Romania,01-09-18,Coal,1.21
Romania,01-09-18,Fossil,1.99
Romania,01-09-18,Gas,0.78
Romania,01-09-18,Hydro,1.23
Romania,01-09-18,Nuclear,0.92
Romania,01-09-18,Solar,0.14
Romania,01-09-18,Wind,0.5
Romania,01-09-18,Wind and solar,0.64
Romania,01-10-18,Bioenergy,0.03
